prompt,chosen,rejected
Toot-Toot!,exclamative,declarative
How charming this town is!,exclamative,imperative
The energy of joy!,exclamative,declarative
What a stunning autumn display!,exclamative,interrogative
Consider long-term impacts.,imperative,exclamative
How enlightening that lecture was!,exclamative,declarative
It’s against the law to sell a haunted house in New York.,declarative,exclamative
"Phew, what a challenge it was!",exclamative,imperative
Be a warrior!,exclamative,imperative
Rad!,exclamative,interrogative
How vibrant the colors of spring are!,exclamative,imperative
What a thrilling time we had!,exclamative,interrogative
Pursue your passion.,imperative,interrogative
What a lovely bridge!,exclamative,imperative
"The world's largest pencil is 76 feet long and weighs 11,000 pounds.",declarative,interrogative
"Bravo, so much talent!",exclamative,imperative
What a vivid imagination you have!,exclamative,interrogative
"Whoa, that’s unexpected!",exclamative,declarative
"Yikes, that was a difficult turn!",exclamative,imperative
"Phew, what a journey it has been!",exclamative,declarative
How magnificent this view is!,exclamative,interrogative
How magical this moment truly is!,exclamative,declarative
Turn challenges into opportunities.,imperative,exclamative
Share different perspectives.,imperative,exclamative
There are no bridges over the Amazon River.,declarative,imperative
Share knowledge freely.,imperative,declarative
Oops!,exclamative,declarative
Are you a fan of fine dining?,interrogative,declarative
Reach for the stars.,imperative,interrogative
Come on in!,exclamative,imperative
How do you handle stress?,interrogative,declarative
Moment to shine!,exclamative,interrogative
You nailed it!,exclamative,interrogative
How engaging your presentation was!,exclamative,interrogative
That's nuts!,exclamative,interrogative
"Wow, the stars are bright!",exclamative,interrogative
Do you enjoy attending lectures or workshops?,interrogative,imperative
What an impressive achievement!,exclamative,imperative
Penguins can use stones to keep their eggs warm.,declarative,interrogative
One for the books!,exclamative,interrogative
Have you ever met a celebrity?,interrogative,declarative
Drink herbal tea.,imperative,interrogative
"Whoa, that’s exhilarating!",exclamative,interrogative
Afterglow!,exclamative,imperative
"Hooray, we’ve made progress!",exclamative,declarative
What a catchy tune that is!,exclamative,imperative
"Yay, the adventure awaits!",exclamative,declarative
What a stunning display at the art gallery!,exclamative,declarative
What was the last concert you attended?,interrogative,exclamative
Enjoy your coffee.,imperative,exclamative
Challenge stereotypes.,imperative,declarative
What an incredible atmosphere!,exclamative,interrogative
Exactly!,exclamative,interrogative
Learn from every failure.,imperative,exclamative
Crows can hold grudges against specific humans.,declarative,interrogative
Welcome fresh starts.,imperative,declarative
You're alive!,exclamative,interrogative
What’s your favorite thing to do on a Sunday?,interrogative,imperative
Integrate art into your life.,imperative,declarative
What a delightful party!,exclamative,declarative
So many opportunities!,exclamative,declarative
A baby elephant can weigh up to 250 pounds at birth.,declarative,imperative
What’s your biggest achievement?,interrogative,exclamative
How lovely your notes sounded!,exclamative,declarative
What do you do on weekends?,interrogative,imperative
Paint a mural.,imperative,exclamative
What’s one piece of advice you'd give to your younger self?,interrogative,declarative
What a rich heritage you have!,exclamative,interrogative
What a splendid collection of desserts!,exclamative,interrogative
Most fish can drown if they are out of water too long.,declarative,imperative
Sheesh!,exclamative,imperative
How breathtaking this canyon is!,exclamative,declarative
"Amazing, what a comeback!",exclamative,interrogative
Seek new experiences.,imperative,interrogative
It rains fish in Honduras annually.,declarative,imperative
You've arrived!,exclamative,imperative
How charming that little bookstore is!,exclamative,declarative
How charming these old buildings are!,exclamative,imperative
Cultivate a peaceful environment.,imperative,declarative
Birds are the nearest living relatives to crocodiles.,declarative,imperative
Here's the deal!,exclamative,imperative
What inspires you to create?,interrogative,exclamative
What hobbies do you want to try?,interrogative,exclamative
What skill would you like to learn?,interrogative,declarative
"In Switzerland, it is illegal to own just one guinea pig.",declarative,imperative
Help your neighbor.,imperative,exclamative
Respect personal boundaries.,imperative,interrogative
Do you enjoy visiting historical sites?,interrogative,exclamative
"Phew, that was close indeed!",exclamative,declarative
What a delightful story to share!,exclamative,imperative
Stand your ground.,imperative,declarative
"Oh wow, nature at its best!",exclamative,imperative
Hug your loved ones.,imperative,exclamative
Do you enjoy public speaking?,interrogative,imperative
What an uplifting experience this has been!,exclamative,declarative
That’s the way!,exclamative,imperative
"Wow, that’s a bold choice!",exclamative,interrogative
Are you a morning person?,interrogative,imperative
Explore different cultures.,imperative,exclamative
Some cats are actually allergic to humans.,declarative,interrogative
How beautiful this bouquet is!,exclamative,declarative
How delightful it is to catch up!,exclamative,imperative
On cloud nine!,exclamative,imperative
"Yikes, hold your breath!",exclamative,imperative
Step up!,exclamative,declarative
How cheerful your energy is!,exclamative,imperative
"Hooray, the fun begins!",exclamative,interrogative
"The average person has about 100,000 hair follicles on their scalp.",declarative,interrogative
"Yikes, that’s a tall order!",exclamative,imperative
What motivates you to wake up each day?,interrogative,declarative
"Yikes, that looks dangerous!",exclamative,interrogative
"Phew, time to relax!",exclamative,imperative
How exciting the finish line looks!,exclamative,imperative
Empower the youth.,imperative,exclamative
Caffeine can help improve mental alertness.,declarative,interrogative
How breathtaking this city skyline is!,exclamative,declarative
Don’t be afraid.,imperative,interrogative
Organize your desk.,imperative,declarative
What a lovely time we spent together!,exclamative,declarative
Lightning strikes the earth 100 times per second.,declarative,imperative
How gorgeous this landscape view is!,exclamative,declarative
The average adult has 206 bones in their body.,declarative,interrogative
Let go of grudges.,imperative,declarative
Dolphins are known to recognize themselves in mirrors.,declarative,exclamative
Take the picture.,imperative,declarative
Write a motivational speech.,imperative,exclamative
"Wow, how extraordinary!",exclamative,declarative
Stay classy!,exclamative,imperative
Join local teams.,imperative,interrogative
Explore local attractions.,imperative,exclamative
What a great effort you put in!,exclamative,declarative
What a beautiful design you created!,exclamative,imperative
What was the last book you read?,interrogative,imperative
Allow yourself to rest.,imperative,interrogative
How delightful that surprise was!,exclamative,imperative
Incredible journey!,exclamative,declarative
Encourage self-expression.,imperative,declarative
How cheerful the music is!,exclamative,imperative
Can you play a sport?,interrogative,declarative
"Eek, scary movie time!",exclamative,imperative
"Oh wow, a double rainbow!",exclamative,imperative
What a warm and cozy feeling this brings!,exclamative,imperative
Cultivate patience.,imperative,declarative
Think again!,exclamative,interrogative
What a charming little cottage!,exclamative,declarative
Take time for reflection.,imperative,declarative
Some species of frogs can survive being frozen alive.,declarative,imperative
Have you seen my keys?,interrogative,exclamative
"Phew, what dynamic changes!",exclamative,imperative
Have you ever traveled abroad?,interrogative,exclamative
"Hooray, let’s cheer together!",exclamative,interrogative
Here's your adventure!,exclamative,interrogative
How inspiring this project turned out!,exclamative,declarative
Finish your homework.,imperative,interrogative
What a creative masterpiece of art!,exclamative,declarative
Yahoo!,exclamative,imperative
"Well, well, well!",exclamative,declarative
Take photographs.,imperative,interrogative
What is one thing on your bucket list?,interrogative,imperative
Celebrate your family traditions.,imperative,exclamative
Please forgive me.,imperative,exclamative
Write a script.,imperative,declarative
Hot-cha!,exclamative,imperative
Maintain open communication.,imperative,exclamative
How remarkable that performance was!,exclamative,interrogative
Don’t make a mess.,imperative,interrogative
Support local artists.,imperative,declarative
What an unexpected gift!,exclamative,interrogative
Swell!,exclamative,declarative
"Yikes, let’s stay alert!",exclamative,interrogative
